2026-05-05T03:24:08Z	  68347  6320  0.0  0.0       00:00
2026-05-05T03:24:10Z	  68347 77696  0.0 41.0       00:02
2026-05-05T03:24:12Z	  68347 77836  0.0 70.3       00:04
2026-05-05T03:24:14Z	  68347 78744  0.0 80.0       00:06
2026-05-05T03:24:16Z	  68347 77300  0.0 83.4       00:08
2026-05-05T03:24:18Z	  68347 77788  0.0 86.6       00:10
2026-05-05T03:24:20Z	  68347 113932  0.0 87.0      00:12
2026-05-05T03:24:22Z	  68347 278368  0.2 87.6      00:14
2026-05-05T03:24:24Z	  68347 278368  0.2 89.1      00:16
2026-05-05T03:24:26Z	  68347 280604  0.2 88.9      00:18
2026-05-05T03:24:28Z	  68347 280620  0.2 90.0      00:20
2026-05-05T03:24:30Z	  68347 280624  0.2 89.1      00:22
2026-05-05T03:24:32Z	  68347 281624  0.2 90.0      00:24
2026-05-05T03:24:34Z	  68347 281624  0.2 90.8      00:26
2026-05-05T03:24:36Z	  68347 281624  0.2 91.4      00:28
2026-05-05T03:24:38Z	  68347 281748  0.2 92.0      00:30
2026-05-05T03:24:40Z	  68347 287392  0.2 91.7      00:32
2026-05-05T03:24:42Z	  68347 287392  0.2 92.2      00:34
2026-05-05T03:24:44Z	  68347 287392  0.2 92.6      00:36
2026-05-05T03:24:46Z	  68347 287392  0.2 93.0      00:38
2026-05-05T03:24:48Z	  68347 287392  0.2 93.3      00:40
